Item,PoNO,Supplier,ShipTo,FabDevice,CustomerDevice,GcVersion,Marking Lot ID,Date,LotId,WaferID,GoodDieQty,Pass Dies,WoNo,Lotproperty,lotOwner,TelePhone,Remark,Flow
31,ZJ2102020001,GCWH,HTKS,S5KTHDYP01-7CD,GC4653-3,CD,,2021/4/20,673368,13,1006,,,,,,,TURN_NORMAL
32,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EFW806,15,5869,,,,,,,TURN_NORMAL
33,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EFW962,15,5869,,,,,,,TURN_NORMAL
34,ZJ2101190014,GCWH,HTKS,S5KTGBGX03-7HD,GC2385-3,HD,,2021/4/20,673335,15,2786,,,,,,,TURN_NORMAL
36,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EFW192,17,5869,,,,,,,TURN_NORMAL
37,ZJ2101190008,GCWH,HTKS,C00007D,GC02M1-3,DJ,,2021/4/20,A004654,18,5869,,,,,,,TURN_NORMAL
38,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EFW121,19,5869,,,,,,,TURN_NORMAL
39,ZJ2101190014,GCWH,HTKS,S5KTGBGX03-7HD,GC2385-3,HD,,2021/4/20,673335,19,2786,,,,,,,TURN_NORMAL
40,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EFK121,20,5869,,,,,,,TURN_NORMAL
41,ZJ2102020001,GCWH,HTKS,S5KTHDYP01-7CD,GC4653-3,CD,,2021/4/20,673367,22,1006,,,,,,,TURN_NORMAL
42,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG1800,23,5869,,,,,,,TURN_NORMAL
43,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EFU643,24,5869,,,,,,,TURN_NORMAL
44,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG2075,24,5869,,,,,,,TURN_NORMAL
45,ZJ2006300019,GCWH,HTKS,H0025BTAZH-0000000,GC02M1BO-3,FO,,2021/4/20,C003269,1,5869,,,,,,,TURN_NORMAL
46,ZJ2006300019,GCWH,HTKS,H0025BTAZH-0000000,GC02M1BO-3,FO,,2021/4/20,C003269,2,5869,,,,,,,TURN_NORMAL
47,ZJ2006300019,GCWH,HTKS,H0025BTAZH-0000000,GC02M1BO-3,FO,,2021/4/20,C003339,1,5869,,,,,,,TURN_NORMAL
48,ZJ2006300019,GCWH,HTKS,H0025BTAZH-0000000,GC02M1BO-3,FO,,2021/4/20,C003339,8,5869,,,,,,,TURN_NORMAL
49,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG2934,15,5869,,,,,,,TURN_NORMAL
50,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG2934,21,5869,,,,,,,TURN_NORMAL
51,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG2934,25,5869,,,,,,,TURN_NORMAL
52,ZJ2006300019,GCWH,HTKS,H0025BTAZH-0000000,GC02M1BO-3,FO,,2021/4/20,C003425,6,5869,,,,,,,TURN_NORMAL
53,ZJ2006300019,GCWH,HTKS,H0025BTAZH-0000000,GC02M1BO-3,FO,,2021/4/20,C003425,11,5869,,,,,,,TURN_NORMAL
54,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG1801,7,5869,,,,,,,TURN_NORMAL
55,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG1801,23,5869,,,,,,,TURN_NORMAL
56,ZJ2006300019,GCWH,HTKS,H0025BTAZH-0000000,GC02M1BO-3,FO,,2021/4/20,C003331,8,5869,,,,,,,TURN_NORMAL
57,ZJ2006300019,GCWH,HTKS,H0025BTAZH-0000000,GC02M1BO-3,FO,,2021/4/20,C003331,20,5869,,,,,,,TURN_NORMAL
